dataset,domain,name,porosity,r_c,r_star_sw015,d_star_sw015,S_nw_max,seconds,error
bentheimer,128,bent128_0000,0.1997,4.571,3.553,7.105,0.8545,9.4,
bentheimer,128,bent128_0001,0.2427,4.119,3.591,7.182,0.9048,7.8,
bentheimer,128,bent128_0002,0.1722,3.732,3.211,6.422,0.9356,8.1,
bentheimer,128,bent128_0003,0.2477,6.078,4.182,8.365,0.8986,8.6,
bentheimer,128,bent128_0004,0.2083,4.993,3.207,6.415,0.8845,9.4,
bentheimer,128,bent128_0005,0.2369,6.997,3.293,6.587,0.8611,9.4,
bentheimer,128,bent128_0006,0.2837,4.999,4.063,8.126,0.9432,8.5,
bentheimer,128,bent128_0007,0.2423,5.096,3.493,6.985,0.911,8.9,
bentheimer,128,bent128_0008,0.3818,5.987,5.468,10.936,0.8581,8.4,
bentheimer,128,bent128_0009,0.2093,5.649,3.477,6.953,0.8591,8.4,
bentheimer,128,bent128_0010,0.2608,6.314,4.095,8.19,0.8643,7.9,
bentheimer,128,bent128_0011,0.1835,4.243,4.001,8.001,0.8516,7.5,
bentheimer,128,bent128_0012,0.17,4.347,3.146,6.291,0.8759,8.7,
bentheimer,128,bent128_0013,0.2348,4.234,3.269,6.539,0.8511,9.4,
bentheimer,128,bent128_0014,0.2629,5.985,4.173,8.346,0.8978,9.3,
bentheimer,128,bent128_0015,0.3172,2.991,5.105,10.211,0.8738,8.2,
bentheimer,128,bent128_0016,0.2618,7.988,3.505,7.011,0.8527,11.1,
bentheimer,128,bent128_0017,0.2186,5.477,3.623,7.245,0.8598,8.2,
bentheimer,128,bent128_0018,0.2566,5.741,4.072,8.143,0.8799,9.0,
bentheimer,128,bent128_0019,0.2463,4.676,4.042,8.083,0.8896,9.1,
bentheimer,128,bent128_0020,0.2434,9.889,4.177,8.354,0.8768,8.4,
bentheimer,128,bent128_0021,0.2912,4.688,4.527,9.054,0.8927,8.2,
bentheimer,128,bent128_0022,0.2183,6.695,4.052,8.104,0.8969,8.6,
bentheimer,128,bent128_0023,0.1885,4.113,3.259,6.518,0.8509,8.0,
bentheimer,128,bent128_0024,0.2411,6.48,4.004,8.009,0.8557,9.4,
bentheimer,128,bent128_0025,0.3004,8.303,5.099,10.199,0.8673,7.5,
bentheimer,128,bent128_0026,0.1757,4.99,,,0.7534,11.5,
bentheimer,128,bent128_0027,0.1971,4.113,4.008,8.016,0.8708,7.0,
bentheimer,128,bent128_0028,0.2343,5.378,4.117,8.233,0.9077,7.9,
bentheimer,128,bent128_0029,0.21,4.111,4.007,8.013,0.8703,7.2,
bentheimer,128,bent128_0030,0.2425,5.828,4.129,8.258,0.8993,7.3,
bentheimer,128,bent128_0031,0.2198,4.241,4.01,8.02,0.8772,7.3,
bentheimer,128,bent128_0032,0.2539,5.992,4.187,8.373,0.9031,8.2,
bentheimer,128,bent128_0033,0.2089,7.538,3.126,6.251,0.9776,8.8,
bentheimer,128,bent128_0034,0.226,4.236,3.606,7.212,0.8621,8.3,
bentheimer,128,bent128_0035,0.1688,5.644,3.618,7.235,0.884,8.3,
bentheimer,128,bent128_0036,0.2895,9.2,4.756,9.513,0.8528,8.0,
bentheimer,128,bent128_0037,0.2321,5.474,4.287,8.574,0.8518,8.2,
bentheimer,128,bent128_0038,0.4056,6.077,5.72,11.44,0.8595,9.1,
bentheimer,128,bent128_0039,0.1998,3.593,3.527,7.054,0.8994,8.4,
bentheimer,128,bent128_0040,0.2899,8.986,4.098,8.195,0.91,12.2,
bentheimer,128,bent128_0041,0.2133,6.394,4.037,8.073,0.8603,9.7,
bentheimer,128,bent128_0042,0.2523,5.091,4.122,8.243,0.9246,11.3,
bentheimer,128,bent128_0043,0.2714,9.045,4.319,8.637,0.8614,10.7,
bentheimer,128,bent128_0044,0.2681,4.578,4.013,8.027,0.8537,10.4,
bentheimer,128,bent128_0045,0.2417,5.383,4.15,8.3,0.8966,10.1,
bentheimer,128,bent128_0046,0.2496,6.779,4.055,8.11,0.8609,11.9,
bentheimer,128,bent128_0047,0.2474,7.203,4.033,8.066,0.8757,11.1,
bentheimer,128,bent128_0048,0.2195,4.995,3.396,6.792,0.9071,12.6,
bentheimer,128,bent128_0049,0.2566,5.985,4.146,8.292,0.9112,11.8,
bentheimer,128,bent128_0050,0.2617,6.927,4.067,8.135,0.9018,11.3,
bentheimer,128,bent128_0051,0.1968,4.463,4.093,8.187,0.8886,10.1,
bentheimer,128,bent128_0052,0.261,6.541,4.577,9.153,0.8564,9.7,
bentheimer,128,bent128_0053,0.2323,4.578,3.594,7.188,0.9256,11.8,
bentheimer,128,bent128_0054,0.2231,3.605,3.514,7.027,0.8731,10.9,
bentheimer,128,bent128_0055,0.2122,5.094,,,0.802,14.4,
bentheimer,128,bent128_0056,0.202,4.995,3.54,7.08,0.9143,11.3,
bentheimer,128,bent128_0057,0.2428,5.645,4.031,8.063,0.8643,10.3,
bentheimer,128,bent128_0058,0.2867,4.89,4.414,8.829,0.8635,9.8,
bentheimer,128,bent128_0059,0.2332,4.898,3.669,7.337,0.8754,10.8,
bentheimer,128,bent128_0060,0.1863,3.728,2.169,4.338,0.9923,12.6,
