leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
drain,0.00561,1.01683,0.9570890069007874,0.0058575471242268695,23,0,46000
drain,0.007010000000000001,1.02103,0.8817062973976135,0.007252256075541141,53,0,152000
drain,0.00841,1.02523,0.7168152332305908,0.0086490313212077,87,0,326000
drain,0.009810000000000001,1.02943,0.3792244791984558,0.010022878646850586,112,0,550000
drain,0.011210000000000001,1.03363,0.3683258295059204,0.011408011118570927,8,0,566000
drain,0.012610000000000001,1.03783,0.3557043671607971,0.012784739335378048,11,0,588000
drain,0.014010000000000002,1.04203,0.3468603491783142,0.014165143171946226,7,0,602000
drain,0.015410000000000002,1.04623,0.3147621154785156,0.015525897343953488,16,0,634000
drain,0.016810000000000002,1.05043,0.30999189615249634,0.016912301381429018,4,0,642000
drain,0.01821,1.05463,0.3052821755409241,0.01828893025716144,4,0,650000
imb,0.016810000000000002,1.05043,0.3075316548347473,0.016906181971232115,2,0,654000
imb,0.015410000000000002,1.04623,0.311576247215271,0.015526294708251953,4,0,662000
imb,0.014010000000000002,1.04203,0.31507590413093567,0.01413571834564209,3,0,668000
imb,0.012610000000000001,1.03783,0.32036110758781433,0.01274844010670978,4,0,676000
imb,0.011210000000000001,1.03363,0.3262040615081787,0.011369466781616211,5,0,686000
imb,0.009810000000000001,1.02943,0.34011727571487427,0.009985427061716734,9,0,704000
imb,0.00841,1.02523,0.35700592398643494,0.008604486783345577,14,0,732000
imb,0.007010000000000001,1.02103,0.41210615634918213,0.007239500681559263,31,0,794000
imb,0.00561,1.01683,0.5695127248764038,0.005851546923319462,98,0,990000
imb,0.00421,1.01263,0.8906649351119995,0.004457672437032045,150,1,1290000
imb,0.00281,1.00843,0.9842142462730408,0.003059546152750614,28,0,1346000
imb,0.00141,1.00423,0.9902611374855042,0.0016591350237528668,5,0,1356000
imb,1.0000000000000026e-05,1.00003,0.9956028461456299,0.0002630154291788922,4,0,1364000
imb,-0.00139,0.99583,0.9975021481513977,-0.0011312365531921387,2,0,1368000
imb,-0.00279,0.99163,0.9979345798492432,-0.002574523289998354,2,0,1372000
