leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
drain,0.00561,1.01683,0.957343578338623,0.005623261133829771,21,0,42000
drain,0.007010000000000001,1.02103,0.8843772411346436,0.00701749324798584,50,0,142000
drain,0.00841,1.02523,0.49414727091789246,0.008417248725891113,135,0,412000
drain,0.009810000000000001,1.02943,0.37375956773757935,0.00978696346282959,45,0,502000
drain,0.011210000000000001,1.03363,0.3394452631473541,0.011170268058776855,30,0,562000
drain,0.012610000000000001,1.03783,0.32610082626342773,0.012551466623942076,10,0,582000
drain,0.014010000000000002,1.04203,0.31469711661338806,0.013931512832641602,9,0,600000
drain,0.015410000000000002,1.04623,0.2679155766963959,0.015289107958475767,22,0,644000
drain,0.016810000000000002,1.05043,0.1779652088880539,0.016576528549194336,22,0,688000
drain,0.01821,1.05463,0.17128139734268188,0.01794127623240155,7,0,702000
drain,0.01961,1.05883,0.16630883514881134,0.01931746800740558,5,0,712000
drain,0.021009999999999997,1.06303,0.16160805523395538,0.020702322324117006,5,0,722000
imb,0.01961,1.05883,0.1631917953491211,0.019313573837280273,2,0,726000
imb,0.01821,1.05463,0.1660470962524414,0.01794437567392987,3,0,732000
imb,0.016810000000000002,1.05043,0.1692899763584137,0.016564011573791504,3,0,738000
imb,0.015410000000000002,1.04623,0.17566409707069397,0.015190919240315737,6,0,750000
imb,0.014010000000000002,1.04203,0.18161918222904205,0.013826966285705566,5,0,760000
imb,0.012610000000000001,1.03783,0.18847736716270447,0.0124386151631673,6,0,772000
imb,0.011210000000000001,1.03363,0.19949939846992493,0.011070648829142271,9,0,790000
imb,0.009810000000000001,1.02943,0.2163313329219818,0.009700338045755985,14,0,818000
imb,0.00841,1.02523,0.27061256766319275,0.008352518081665039,36,0,890000
imb,0.007010000000000001,1.02103,0.2949379086494446,0.006974776585896847,19,0,928000
