leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
drain,0.00607,1.01821,0.9796294569969177,0.006195803483327267,5,1,10000
drain,0.00645,1.01935,0.968704879283905,0.006572206815083859,5,1,20000
drain,0.00683,1.02049,0.9218875765800476,0.006949444611867306,40,1,100000
drain,0.00721,1.02163,0.9025912284851074,0.0073285698890686035,40,1,180000
drain,0.00759,1.02277,0.8921462893486023,0.0077074567476908,40,1,260000
drain,0.00797,1.02391,0.8864365220069885,0.008087178071339907,40,1,340000
drain,0.00835,1.02505,0.87681645154953,0.008467058340708378,40,1,420000
drain,0.00873,1.02619,0.8404812812805176,0.008843998114268004,40,1,500000
drain,0.00911,1.02733,0.8161545395851135,0.009224514166514042,40,1,580000
drain,0.00949,1.02847,0.8103994131088257,0.0096043546994527,19,0,618000
drain,0.00987,1.02961,0.801860511302948,0.009984632333119692,26,0,670000
drain,0.01025,1.03075,0.772624135017395,0.010365486145019531,40,1,750000
drain,0.01063,1.03189,0.7117078900337219,0.010745644569396973,40,1,830000
drain,0.01101,1.0330300000000001,0.6736138463020325,0.0111255248387655,40,1,910000
drain,0.01139,1.03417,0.6111409664154053,0.011505504449208559,40,1,990000
drain,0.011770000000000001,1.03531,0.5583540201187134,0.01188570261001587,40,1,1070000
drain,0.012150000000000001,1.03645,0.5205676555633545,0.01226552327473962,40,1,1150000
drain,0.012530000000000001,1.03759,0.48451292514801025,0.012645542621612549,40,1,1230000
drain,0.012910000000000001,1.03873,0.46002063155174255,0.013026336828867613,40,1,1310000
drain,0.013290000000000001,1.03987,0.43020951747894287,0.013406217098236084,40,1,1390000
drain,0.013670000000000002,1.04101,0.4109536111354828,0.013786256313323975,40,1,1470000
drain,0.014050000000000002,1.04215,0.40187132358551025,0.014166255791982052,40,1,1550000
drain,0.014430000000000002,1.04329,0.39102527499198914,0.014546414216359493,40,1,1630000
drain,0.014810000000000002,1.04443,0.3788265585899353,0.01492635409037274,40,1,1710000
drain,0.015190000000000002,1.04557,0.3651122748851776,0.015306254227956118,40,1,1790000
drain,0.015570000000000002,1.04671,0.3475516736507416,0.015686213970184326,40,1,1870000
drain,0.015950000000000002,1.04785,0.33919769525527954,0.01606639226277673,40,1,1950000
drain,0.01633,1.04899,0.33724984526634216,0.01644643147786462,13,0,1976000
drain,0.01671,1.05013,0.33634957671165466,0.01682635148366296,7,0,1990000
drain,0.017089999999999998,1.05127,0.33551135659217834,0.01720629135767615,7,0,2004000
drain,0.017469999999999996,1.05241,0.33460044860839844,0.01758629083633423,8,0,2020000
drain,0.017849999999999994,1.05355,0.33409497141838074,0.01796629031499225,3,0,2026000
drain,0.018229999999999993,1.05469,0.32926416397094727,0.01834621032079059,40,1,2106000
drain,0.01860999999999999,1.05583,0.3249370753765106,0.018726110458374023,40,1,2186000
drain,0.01898999999999999,1.05697,0.3202536702156067,0.0191061099370321,40,1,2266000
imb,0.01860999999999999,1.05583,0.32030051946640015,0.01872618993123376,2,0,2270000
